/home/fluxie/projects/cpp/return_test/cmake-build-release/return_test
Data: 1, Buffer: 1, Duration:37931 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 1, Duration:191700 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 4, Duration:50746 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 4, Duration:184536 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 10, Duration:62878 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 10, Duration:198422 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 64, Duration:73578 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 64, Duration:190828 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 64, Duration:73578 ns, Vector: 0, Exceptions: 0
Data: 1, Buffer: 64, Duration:192611 ns, Vector: 1, Exceptions: 0
Data: 1, Buffer: 128, Duration:75001 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 128, Duration:184897 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 256, Duration:75632 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 256, Duration:190367 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 512, Duration:74039 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 512, Duration:191459 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 1024, Duration:77084 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 1024, Duration:185097 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 2048, Duration:63429 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 2048, Duration:183724 ns, Vector: 1, Exceptions: 1
Data: 1, Buffer: 4096, Duration:65563 ns, Vector: 0, Exceptions: 1
Data: 1, Buffer: 4096, Duration:187171 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 4, Duration:65553 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 4, Duration:193914 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 10, Duration:65553 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 10, Duration:195928 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 64, Duration:68498 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 64, Duration:194375 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 64, Duration:68077 ns, Vector: 0, Exceptions: 0
Data: 4, Buffer: 64, Duration:195557 ns, Vector: 1, Exceptions: 0
Data: 4, Buffer: 128, Duration:68078 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 128, Duration:193543 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 256, Duration:71033 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 256, Duration:194234 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 512, Duration:68509 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 512, Duration:195787 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 1024, Duration:70593 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 1024, Duration:193563 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 2048, Duration:68509 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 2048, Duration:193573 ns, Vector: 1, Exceptions: 1
Data: 4, Buffer: 4096, Duration:87685 ns, Vector: 0, Exceptions: 1
Data: 4, Buffer: 4096, Duration:198493 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 10, Duration:78588 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 10, Duration:204824 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 64, Duration:75632 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 64, Duration:212449 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 64, Duration:75632 ns, Vector: 0, Exceptions: 0
Data: 9, Buffer: 64, Duration:217669 ns, Vector: 1, Exceptions: 0
Data: 9, Buffer: 128, Duration:76102 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 128, Duration:206557 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 256, Duration:75632 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 256, Duration:215164 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 512, Duration:76113 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 512, Duration:210114 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 1024, Duration:76103 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 1024, Duration:215614 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 2048, Duration:76103 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 2048, Duration:206167 ns, Vector: 1, Exceptions: 1
Data: 9, Buffer: 4096, Duration:87104 ns, Vector: 0, Exceptions: 1
Data: 9, Buffer: 4096, Duration:218149 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 64, Duration:73117 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 64, Duration:207369 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 64, Duration:63038 ns, Vector: 0, Exceptions: 0
Data: 16, Buffer: 64, Duration:222086 ns, Vector: 1, Exceptions: 0
Data: 16, Buffer: 128, Duration:63429 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 128, Duration:209082 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 256, Duration:65974 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 256, Duration:218149 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 512, Duration:63038 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 512, Duration:212829 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 1024, Duration:65964 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 1024, Duration:217669 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 2048, Duration:63039 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 2048, Duration:209082 ns, Vector: 1, Exceptions: 1
Data: 16, Buffer: 4096, Duration:86903 ns, Vector: 0, Exceptions: 1
Data: 16, Buffer: 4096, Duration:220684 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 64, Duration:83727 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 64, Duration:207369 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 64, Duration:83717 ns, Vector: 0, Exceptions: 0
Data: 25, Buffer: 64, Duration:220674 ns, Vector: 1, Exceptions: 0
Data: 25, Buffer: 128, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 128, Duration:209082 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 256, Duration:84248 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 256, Duration:218149 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 512, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 512, Duration:213691 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 1024, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 1024, Duration:218149 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 2048, Duration:83717 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 2048, Duration:209092 ns, Vector: 1, Exceptions: 1
Data: 25, Buffer: 4096, Duration:86633 ns, Vector: 0, Exceptions: 1
Data: 25, Buffer: 4096, Duration:224331 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 64, Duration:92243 ns, Vector: 0, Exceptions: 1
Data: 36, Buffer: 64, Duration:190828 ns, Vector: 1, Exceptions: 1
Data: 36, Buffer: 64, Duration:92213 ns, Vector: 0, Exceptions: 0
